IBOV - Carteira do Dia 24/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.355.174.839;3,166;
ASAI3;ASSAI;ON      NM;157.635.935;0,538;
AZUL4;AZUL;PN      N2;327.283.207;0,580;
BTOW3;B2W DIGITAL;ON      NM;201.549.295;0,608;
B3SA3;B3;ON      NM;1.930.877.944;5,042;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,786;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,393;
BBDC3;BRADESCO;ON      N1;1.147.260.246;1,270;
BBDC4;BRADESCO;PN      N1;4.261.649.634;5,405;
BRAP4;BRADESPAR;PN      N1;222.075.664;0,656;
BBAS3;BRASIL;ON      NM;1.283.197.221;1,836;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,468;
BRFS3;BRF SA;ON      NM;811.759.800;0,953;
BPAC11;BTGP BANCO;UNT     N2;263.871.572;1,210;
CRFB3;CARREFOUR BR;ON      NM;391.758.726;0,364;
CCRO3;CCR SA;ON      NM;1.115.695.556;0,648;
CMIG4;CEMIG;PN      N1;969.723.092;0,575;
HGTX3;CIA HERING;ON      NM;126.186.408;0,096;
CIEL3;CIELO;ON      NM;1.112.196.638;0,196;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,353;
CPLE6;COPEL;PNB     N1;1.282.975.430;0,438;
CSAN3;COSAN;ON      NM;160.307.273;0,712;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,278;
CVCB3;CVC BRASIL;ON      NM;172.756.818;0,161;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,334;
ECOR3;ECORODOVIAS;ON      NM;171.109.276;0,093;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,570;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,397;
EMBR3;EMBRAER;ON  ATZ NM;736.143.105;0,473;
ENBR3;ENERGIAS BR;ON      NM;250.403.441;0,233;
ENGI11;ENERGISA;UNT ED  N2;250.679.709;0,530;
ENEV3;ENEVA;ON      NM;1.151.378.680;0,912;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,510;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;1,051;
EZTC3;EZTEC;ON      NM;95.756.217;0,147;
FLRY3;FLEURY;ON      NM;303.800.430;0,373;
GGBR4;GERDAU;PN      N1;995.903.643;1,275;
GOAU4;GERDAU MET;PN      N1;693.699.918;0,399;
GOLL4;GOL;PN      N2;137.725.788;0,135;
NTCO3;GRUPO NATURA;ON      NM;841.083.922;2,040;
HAPV3;HAPVIDA;ON      NM;1.085.256.490;0,798;
HYPE3;HYPERA;ON      NM;410.147.968;0,646;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,149;
GNDI3;INTERMEDICA;ON      NM;588.176.771;2,421;
IRBR3;IRBBRASIL RE;ON      NM;1.255.327.516;0,390;
ITSA4;ITAUSA;PN      N1;4.515.538.171;2,233;
ITUB4;ITAUUNIBANCO;PN      N1;4.757.466.114;6,341;
JBSS3;JBS;ON      NM;1.500.315.048;1,992;
JHSF3;JHSF PART;ON      NM;288.952.690;0,098;
KLBN11;KLABIN S/A;UNT     N2;788.757.519;1,084;
RENT3;LOCALIZA;ON      NM;592.069.308;1,614;
LCAM3;LOCAMERICA;ON      NM;323.763.077;0,360;
LAME4;LOJAS AMERIC;PN      N1;843.325.974;0,894;
LREN3;LOJAS RENNER;ON  EJ  NM;785.417.914;1,577;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;2,767;
MRFG3;MARFRIG;ON      NM;368.864.634;0,302;
BEEF3;MINERVA;ON      NM;239.331.676;0,115;
MRVE3;MRV;ON      NM;298.796.441;0,252;
MULT3;MULTIPLAN;ON      N2;276.848.567;0,314;
PCAR3;P.ACUCAR-CBD;ON      NM;157.635.935;0,224;
PETR3;PETROBRAS;ON      N2;3.307.982.840;3,596;
PETR4;PETROBRAS;PN      N2;4.566.457.037;5,019;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,222;
PRIO3;PETRORIO;ON      NM;164.860.900;0,691;
QUAL3;QUALICORP;ON      NM;283.467.789;0,445;
RADL3;RAIADROGASIL;ON      NM;1.072.645.150;1,342;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;1,173;
SBSP3;SABESP;ON      NM;339.999.111;0,683;
SANB11;SANTANDER BR;UNT;355.666.691;0,672;
CSNA3;SID NACIONAL;ON;642.398.790;1,038;
SULA11;SUL AMERICA;UNT     N2;279.572.852;0,532;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;2,508;
TAEE11;TAESA;UNT     N2;218.568.274;0,381;
VIVT3;TELEF BRASIL;ON;444.219.852;0,976;
TIMS3;TIM;ON      NM;808.485.985;0,508;
TOTS3;TOTVS;ON      NM;480.228.410;0,666;
UGPA3;ULTRAPAR;ON      NM;1.087.056.490;1,025;
USIM5;USIMINAS;PNA     N1;513.729.947;0,412;
VALE3;VALE;ON      NM;2.837.320.141;12,454;
VVAR3;VIAVAREJO;ON      NM;1.595.083.594;0,932;
WEGE3;WEG;ON      NM;741.148.001;2,558;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,392;
Quantidade Teórica Total;;;76.862.590.858;100,000
Redutor;;;18.316.32880632675
